,FFR_2,FFR_3
0,1.000021,0.999839
1,1.000024,0.999823
2,1.000025,0.999812
3,1.000026,0.999806
4,1.000026,0.999803
5,1.000027,0.999799
6,1.000028,0.999793
7,1.000029,0.999781
8,1.000031,0.99977
9,1.000032,0.999757
10,1.000034,0.999747
11,1.000034,0.999741
12,1.000035,0.99974
13,1.000034,0.999743
14,1.000033,0.999751
15,1.000029,0.999782
16,1.000031,0.999764
17,1.000034,0.999748
18,1.000035,0.999739
19,1.000036,0.999732
20,1.000036,0.999727
21,1.000038,0.999718
22,1.00004,0.999703
23,1.000042,0.999687
24,1.000044,0.99967
25,1.000046,0.999656
26,1.000047,0.999647
27,1.000047,0.999644
28,1.000047,0.999647
29,1.000046,0.999654
30,1.000037,0.999723
31,1.00004,0.999699
32,1.000043,0.999678
33,1.000045,0.999665
34,1.000046,0.999655
35,1.000047,0.999647
36,1.000048,0.999636
37,1.000051,0.999617
38,1.000054,0.999596
39,1.000057,0.999574
40,1.000059,0.999556
41,1.000061,0.999544
42,1.000061,0.999539
43,1.000061,0.99954
44,1.00006,0.999548
45,1.000045,0.999659
46,1.000049,0.999629
47,1.000053,0.999602
48,1.000055,0.999584
49,1.000057,0.999571
50,1.000059,0.99956
51,1.00006,0.999546
52,1.000064,0.999522
53,1.000067,0.999496
54,1.000071,0.99947
55,1.000073,0.999448
56,1.000075,0.999433
57,1.000077,0.999424
58,1.000077,0.999423
59,1.000076,0.999432
60,1.000055,0.999589
61,1.00006,0.999552
62,1.000064,0.999519
63,1.000067,0.999496
64,1.000069,0.999478
65,1.000071,0.999464
66,1.000074,0.999448
67,1.000077,0.999419
68,1.000081,0.999388
69,1.000086,0.999357
70,1.000089,0.999331
71,1.000092,0.999312
72,1.000093,0.9993
73,1.000094,0.999297
74,1.000093,0.999305
75,1.000065,0.999513
76,1.000071,0.999468
77,1.000076,0.999428
78,1.00008,0.999401
79,1.000083,0.999378
80,1.000085,0.99936
81,1.000088,0.99934
82,1.000092,0.999306
83,1.000097,0.999269
84,1.000102,0.999234
85,1.000106,0.999204
86,1.000109,0.999181
87,1.000111,0.999166
88,1.000112,0.999161
89,1.000111,0.999168
90,1.000076,0.99943
91,1.000083,0.999376
92,1.000089,0.999329
93,1.000094,0.999296
94,1.000097,0.999268
95,1.0001,0.999247
96,1.000103,0.999223
97,1.000109,0.999183
98,1.000114,0.999141
99,1.00012,0.999101
100,1.000124,0.999066
101,1.000128,0.99904
102,1.00013,0.999021
103,1.000131,0.999014
104,1.00013,0.99902
105,1.000088,0.99934
106,1.000096,0.999276
107,1.000104,0.999221
108,1.000109,0.999182
109,1.000113,0.999149
110,1.000117,0.999123
111,1.00012,0.999095
112,1.000127,0.999049
113,1.000133,0.999
114,1.000139,0.998956
115,1.000144,0.998918
116,1.000148,0.998889
117,1.000151,0.998866
118,1.000152,0.998857
119,1.000151,0.998862
120,1.000101,0.999241
121,1.000111,0.999167
122,1.000119,0.999103
123,1.000125,0.999057
124,1.000131,0.999019
125,1.000135,0.998988
126,1.000139,0.998956
127,1.000146,0.998903
128,1.000153,0.998848
129,1.00016,0.9988
130,1.000165,0.998758
131,1.00017,0.998726
132,1.000173,0.998699
133,1.000175,0.998688
134,1.000174,0.998692
135,1.000115,0.999134
136,1.000127,0.999047
137,1.000136,0.998974
138,1.000143,0.998922
139,1.000149,0.998877
140,1.000154,0.998842
141,1.000159,0.998804
142,1.000167,0.998744
143,1.000175,0.998682
144,1.000182,0.99863
145,1.000188,0.998585
146,1.000193,0.99855
147,1.000197,0.99852
148,1.000199,0.998506
149,1.000198,0.998509
150,1.000131,0.999017
151,1.000144,0.998917
152,1.000155,0.998835
153,1.000163,0.998775
154,1.00017,0.998722
155,1.000175,0.998682
156,1.000181,0.998639
157,1.00019,0.998571
158,1.000199,0.998502
159,1.000207,0.998445
160,1.000213,0.998398
161,1.000218,0.998361
162,1.000223,0.998327
163,1.000225,0.998311
164,1.000224,0.998314
165,1.000148,0.998889
166,1.000163,0.998776
167,1.000175,0.998683
168,1.000184,0.998614
169,1.000192,0.998554
170,1.000199,0.998508
171,1.000205,0.998459
172,1.000215,0.998382
173,1.000226,0.998305
174,1.000233,0.998245
175,1.00024,0.998196
176,1.000245,0.998157
177,1.00025,0.998119
178,1.000253,0.998102
179,1.000252,0.998105
180,1.000166,0.99875
181,1.000183,0.998621
182,1.000197,0.998518
183,1.000208,0.998439
184,1.000217,0.998371
185,1.000224,0.998318
186,1.000231,0.998262
187,1.000243,0.998177
188,1.000254,0.998091
189,1.000262,0.998028
190,1.000269,0.997977
191,1.000275,0.997936
192,1.00028,0.997895
193,1.000283,0.997877
194,1.000282,0.997881
195,1.000187,0.998598
196,1.000206,0.998453
197,1.000221,0.998338
198,1.000233,0.998249
199,1.000243,0.998171
