,MI
0,0.7051800198725068
1,0.7061781330356646
2,0.7098520606959354
3,0.7147097748630677
4,0.719178687862555
5,0.7211892001140463
6,0.7205880845669786
7,0.7187226122433732
8,0.7166830661359839
9,0.7171175792098219
10,0.7180788099332988
11,0.7179415169956999
12,0.7164612321075001
13,0.7145100250097579
14,0.7125810202636701
15,0.7199805176218618
16,0.7211937549259384
17,0.7259058926046509
18,0.7322797997566347
19,0.7380150392990147
20,0.7403418925194619
21,0.7392095058815716
22,0.7366248443949376
23,0.733782660901749
24,0.7343911115860329
25,0.735857384642148
26,0.7358236602394408
27,0.7339744067974494
28,0.7314850077127908
29,0.7290108504601351
30,0.7347775919925881
31,0.7361753283418704
32,0.741896887700449
33,0.7497979358740908
34,0.7567433531328216
35,0.7592528897145956
36,0.7574389426445134
37,0.7540645067236652
38,0.7503554665456532
39,0.7511571008082234
40,0.7532165610847074
41,0.7533548528386429
42,0.7511756519157268
43,0.7481742885752607
44,0.7451716948521291
45,0.7495341787168103
46,0.7510855732349734
47,0.7577719360786735
48,0.7671789789053678
49,0.775247621689645
50,0.7778047830172111
51,0.7751756171892238
52,0.7709496547480467
53,0.76633691680184
54,0.7673493089546543
55,0.7700735044952418
56,0.7704505633201655
57,0.7679849795289497
58,0.764507883562581
59,0.7610030015367955
60,0.7642103784886405
61,0.7658858613496088
62,0.7734753001404566
63,0.7843327040417979
64,0.7934066109354423
65,0.7958813868820791
66,0.79232561896975
67,0.7871964742053136
68,0.7816740436411732
69,0.7829140806997087
70,0.786353609896853
71,0.7870313855955152
72,0.7843246574158608
73,0.7804177287940975
74,0.7764469823633863
75,0.7787611985923922
76,0.7805331908558905
77,0.7889457954562349
78,0.80116254128337
79,0.8110941315944249
80,0.8133679664034617
81,0.8088003680538509
82,0.8027276139595934
83,0.7963218369077019
84,0.7978074458421583
85,0.8019889086328129
86,0.8030213913960935
87,0.8001176103889418
88,0.7958358718311115
89,0.791446445216736
90,0.7931399993905768
91,0.7949841351835978
92,0.8041210778047153
93,0.8175712790996499
94,0.8281865606170844
95,0.8301581185604857
96,0.8245215182298671
97,0.817476849119897
98,0.8102458462225588
99,0.8119982953598375
100,0.8169227930585975
101,0.8183528784137749
102,0.8152925208170154
103,0.8106994601534252
104,0.8059494799649823
105,0.8072953729781813
106,0.8091920981468299
107,0.81893569317722
108,0.8334605800673509
109,0.8445644056417345
110,0.8461541573742286
111,0.8394193413100515
112,0.8313869479703947
113,0.8234178952022493
114,0.8254644079418063
115,0.831107870927527
116,0.8329643823166211
117,0.829782476775597
118,0.8249492381306343
119,0.819907540251186
120,0.8211745899595533
121,0.8231104277063088
122,0.8333255249528085
123,0.8487366644436556
124,0.8601198483473638
125,0.8612729656063779
126,0.8534368832552119
127,0.8444131549706073
128,0.8358174103192165
129,0.8381936670491656
130,0.8445092722787618
131,0.8468043620615515
132,0.8435296328662462
133,0.8385340882048546
134,0.8332794403348526
135,0.8347239101753088
136,0.836690716116499
137,0.8472283565005432
138,0.8633120824421527
139,0.8747601320624692
140,0.8754474025054065
141,0.866530055552301
142,0.8565224420766996
143,0.8474282908890669
144,0.8501802698400731
145,0.8571033452002697
146,0.8598306652794203
147,0.8564858706182289
148,0.8514115384832114
149,0.846031103756758
150,0.8478904581613651
151,0.849880371025109
152,0.8605846904952246
153,0.8771077258041222
154,0.8884106477092378
155,0.8886273879954993
156,0.8786677573465232
157,0.8676928752019395
158,0.8582357368606385
159,0.8614201965895538
160,0.8688758604830342
161,0.8720100523971152
162,0.8686136093939674
163,0.8635484176630017
164,0.8581353338799291
165,0.860627917411734
166,0.8626235366149649
167,0.8733417777324566
168,0.8900578364980722
169,0.9010200614798715
170,0.9007833965879861
171,0.8898346959666786
172,0.8779163959785736
173,0.8682271056548498
174,0.8719098701691885
175,0.8798228898427748
176,0.8833209200777823
177,0.8798897311817954
178,0.8749246794980814
179,0.869574850302735
180,0.8728949928758495
181,0.8748588332020433
182,0.8854519586188926
183,0.9021097041398443
184,0.9125594330596476
185,0.9119046610623325
186,0.900028499412298
187,0.8871968595373468
188,0.8773896679990435
189,0.8816410317228567
190,0.8899463808381014
191,0.893751124034991
192,0.8903041372905154
193,0.8855316882352183
194,0.8803398931492135
195,0.8846576189283727
196,0.8865258509755939
197,0.896875652472304
198,0.9132277113139549
199,0.9230244987422752
200,0.9220012718999866
201,0.9092607691398178
202,0.8955538922516576
203,0.8857174508007019
204,0.8906042003640795
205,0.8992552133122741
206,0.9033011134384364
207,0.8998631112109062
208,0.8953752167848723
209,0.8904456617310021
210,0.8958841778267829
211,0.8975688528159282
212,0.9075788409527965
213,0.9233919587889257
214,0.9324321174740297
215,0.9311006766908777
216,0.9175529891760362
217,0.9030225975410402
218,0.8932165387914849
219,0.8987908040038606
220,0.9077619595688998
221,0.9119823427885017
222,0.9085873476828721
223,0.9044727082988582
224,0.8998714909906398
225,0.7056235608918638
226,0.7066129764908601
227,0.7102965099282583
228,0.7151481476712735
229,0.7196118837979812
230,0.7216242922660808
231,0.7210132450178248
232,0.7191278621612947
233,0.7170858285254633
234,0.7175107868379792
235,0.7184523969208977
236,0.7182921711867469
237,0.7167647991655677
238,0.7147507686966833
239,0.7127521797953474
240,0.7205271997978141
241,0.7217640281023057
