,MI
0,1.0307176272107261
1,1.0352462575552441
2,1.0519439131739092
3,1.0740990415626472
4,1.0945706778472677
5,1.1038119507102908
6,1.101046790141125
7,1.0924771412662986
8,1.0831271384379355
9,1.0851174630670373
10,1.08952359425566
11,1.0888939977872927
12,1.0821113431050877
13,1.0731861122940534
14,1.0643785281891875
15,1.040976052610928
16,1.0465344826610934
17,1.0681839437206115
18,1.0976426988454493
19,1.1243485706337346
20,1.1352435617439325
21,1.129936847999396
22,1.1178563702588042
23,1.10462130595126
24,1.1074504828831861
25,1.1142776387908873
26,1.1141204640543376
27,1.1055126469503562
28,1.0939573316059907
29,1.0825074347948476
30,1.0519268618224777
31,1.058410454242802
32,1.0850634258548213
33,1.12220763017902
34,1.1552372289932147
35,1.167269165593932
36,1.1585667806720445
37,1.1424522529832828
38,1.1248451953280247
39,1.1286416381218447
40,1.1384175356902217
41,1.1390751687311242
42,1.1287295513335893
43,1.114539450256325
44,1.100407797320498
45,1.0635900125277085
46,1.070897152375253
47,1.102579075165536
48,1.1477442919407137
49,1.1871301929648839
50,1.1997529648253877
51,1.186775784115288
52,1.1660698570068588
53,1.1436701278452197
54,1.1485691964232343
55,1.1617995431440615
56,1.1636363860988368
57,1.1516501162028925
58,1.1348427724224357
59,1.1180086370261815
60,1.0759765590419939
61,1.0840144388367063
62,1.12071763655077
63,1.1741842921122623
64,1.2198916837065295
65,1.2325408076895061
66,1.2143921862935882
67,1.1885011335059934
68,1.160976812697454
69,1.1671271553338352
70,1.1842774017205786
71,1.1876731802909262
72,1.174144198770055
73,1.1547628363089495
74,1.135231669227954
75,1.0890925649778072
76,1.097779682391331
77,1.1394546168371262
78,1.2014399726353242
79,1.2533551144132598
80,1.2654601070294516
81,1.2412300390709075
82,1.2095233818355045
83,1.1766517032515265
84,1.1842258335326834
85,1.205703726542526
86,1.2110446040365637
87,1.1960621921974852
88,1.174180316633578
89,1.1519918916052028
90,1.1029373097794686
91,1.112208899024239
92,1.1587536309559423
93,1.2294036280089384
94,1.2873221014497027
95,1.2983198382756724
96,1.2670854132379474
97,1.2288975733908338
98,1.19058214981122
99,1.19979135476442
100,1.225931425976036
101,1.2335981401021974
102,1.2172337412971834
103,1.1929613850969985
104,1.1681990442652863
105,1.1175011088616704
106,1.127317440131501
107,1.1785664547862247
108,1.2579463003846096
109,1.3215620969841537
110,1.3309105348595769
111,1.2917329594175502
112,1.246366722341895
113,1.2026501603571673
114,1.2137632800350218
115,1.2448150074432176
116,1.2551673553333036
117,1.2374668859269562
118,1.2109586348371173
119,1.1837594664355817
120,1.1327640384565683
121,1.1431187338658808
122,1.1988339018811032
123,1.286916292985764
124,1.3558130921889167
125,1.36300447630773
126,1.314923563954588
127,1.2616548324153172
128,1.2127240902102452
129,1.226088776757178
130,1.2622114657519004
131,1.2755690526771106
132,1.2565484545662384
133,1.2280131957759066
134,1.1985781885187963
135,1.1486989849404228
136,1.159618375807871
137,1.2194872353251642
138,1.3161373412629396
139,1.3897835803510052
140,1.3943560917412559
141,1.3363837051942369
142,1.2744671407146675
143,1.2206471388436724
144,1.236710725748651
145,1.277979719963556
146,1.2946000752783933
147,1.2742463184269623
148,1.243958525768336
149,1.2125612021461198
150,1.1652824491922216
151,1.176800717540998
152,1.2404497883003467
153,1.3454068184595824
154,1.4231563217956478
155,1.4247034081747634
156,1.3558170945411656
157,1.2844931569944316
158,1.226222908295675
159,1.2455479314862852
160,1.2919774206458539
161,1.3120343755065524
162,1.2903142775616363
163,1.2586264567170775
164,1.2256182182902289
165,1.1825089498407515
166,1.1946092479167993
167,1.2616374327895998
168,1.3744935797805282
169,1.4555933355666983
170,1.4537712229815174
171,1.3729076315242659
172,1.2914143523987172
173,1.2292022872974224
174,1.2524691407799782
175,1.3040541301603226
176,1.3276210975423548
177,1.3044998402268002
178,1.2718553561256307
179,1.2376659203646863
180,1.200398526539475
181,1.212933751164006
182,1.2829567680196314
183,1.4031362150820745
184,1.4867425763526338
185,1.481278334959475
186,1.3873221828973124
187,1.2949196893840096
188,1.2292829087121995
189,1.257270122930487
190,1.3140424625473681
191,1.3410861503820408
192,1.3165559588031859
193,1.2835005514269364
194,1.248632310013214
195,1.2189950995192784
196,1.2316131932248544
197,1.3042986360453417
198,1.431040990350982
199,1.5162448042000873
200,1.5069483168453244
201,1.3987107570179889
202,1.2947323960640882
203,1.2261358401914884
204,1.2596682415190206
205,1.3217500622113187
206,1.3521393697461264
207,1.3262571303349053
208,1.2934460173120068
209,1.2585640463749688
210,1.2383535625012592
211,1.2504573525485063
212,1.3255275518016454
213,1.4578803089749233
214,1.5437413182738216
215,1.5305215126225789
216,1.4067074480479285
217,1.290651695933066
218,1.2194675297196786
219,1.2593259314320964
220,1.3269559167742933
221,1.3604894145166366
222,1.3334208579803886
223,1.3016166772072626
224,1.267233722420369
225,1.0327296749137413
226,1.0372202089838944
227,1.053967125743792
228,1.0761031706079005
229,1.0965601361080803
230,1.1058145624745148
231,1.103002356159032
232,1.0943373208097769
233,1.0849719967553106
234,1.086919339980906
235,1.091237241754997
236,1.0905022026007174
237,1.083501457181668
238,1.0742864195531907
239,1.0651593983144794
240,1.0434799212938621
241,1.049149299419426
242,1.0708713247730346
243,1.1003174451388846
244,1.1270133547533796
245,1.1379383886950114
246,1.1325813613876279
247,1.1203585946535901
248,1.107096861236447
249,1.1098569816494344
250,1.116552849834891
251,1.1162508777288105
252,1.1073353207705816
253,1.0953795538890054
254,1.083496131697936
255,1.0550795998043982
256,1.0616892887905256
257,1.0884423258640237
258,1.1255864870368235
259,1.1586157184511554
260,1.1707000530152967
261,1.1619476207269293
262,1.145634427082687
263,1.127983224159501
264,1.1316788243525318
265,1.1412740289872303
266,1.141744954991217
267,1.1309898295346446
268,1.1162764787233055
269,1.1015876586263291
270,1.067418368912476
271,1.074864051531962
272,1.106677292626438
273,1.1518615162982189
274,1.1912623414190715
275,1.2039647796733386
276,1.1909397913787205
277,1.1699692561109503
278,1.147499666308942
279,1.1522609731766782
280,1.1652562301200666
281,1.1668625741318432
282,1.1543530992693798
283,1.1368882350730605
284,1.1193646765195109
285,1.080507469750168
286,1.0886943463786174
287,1.1255632844988528
288,1.1790746407788986
289,1.2248188812049519
290,1.2375790499170882
291,1.2193846350923876
292,1.193153505824373
293,1.165523200369889
294,1.171494453575754
295,1.1883516536521712
296,1.1914716981209257
297,1.177294278611167
298,1.157110600765284
299,1.1367503760927793
300,1.0943529430083192
301,1.1031984793077805
302,1.145076043596432
303,1.2071385006678166
304,1.259120060473592
305,1.2713705251088459
306,1.247093593661604
307,1.2149619545486625
308,1.181935761602241
309,1.189285901064704
310,1.210410580246752
311,1.2154292593570923
312,1.1996623455061588
313,1.1768240502964769
314,1.153660903846792
315,1.1089537836074295
316,1.1183935400071359
317,1.1651793968894555
318,1.2359455524031708
319,1.2939686938533417
320,1.3051480668281472
321,1.2738590583277538
322,1.2351519655178504
323,1.196619524628023
324,1.2055571719369282
325,1.2312827702379832
326,1.2385796133292752
327,1.2212848991202563
328,1.1958941879794214
329,1.170006777648161
330,1.1242996499355584
331,1.134296168854843
332,1.1858253684556272
333,1.265366934611938
334,1.3291353307030243
335,1.3387017711685636
336,1.299450896665513
337,1.2534617635511751
338,1.2094508325576503
339,1.2202431074557982
340,1.2508187955659384
341,1.260752253990735
342,1.2419673878877335
343,1.2141727345900486
344,1.1856947583408708
345,1.140369410037317
346,1.1509212463384428
347,1.2069551232065001
348,1.2952510484059458
349,1.3643589592538072
350,1.371803217125011
351,1.3236140861960257
352,1.2696093069878276
353,1.220292041762706
354,1.2332858200625232
355,1.2688709977055317
356,1.28175906260951
357,1.2614936045213754
358,1.23149969782436
359,1.200629971617613
360,1.1571340546179245
361,1.1682756184297771
362,1.228500436613087
363,1.325421794411984
364,1.39934894919809
365,1.404205955691038
366,1.3460680798676004
367,1.283292499078114
368,1.2289801410223995
369,1.2446228866182134
370,1.2852930407180787
371,1.3013912313760125
372,1.2796280495573302
373,1.2477072347621088
374,1.2147182203563924
375,1.174567617097457
376,1.1863437600057343
377,1.2503853347536422
378,1.3556768347556338
379,1.43378878211206
380,1.4356470622659234
381,1.3665085267985448
382,1.2941922700887283
383,1.2353123959991867
384,1.2541676205050225
385,1.2999368926508392
386,1.319416485370383
387,1.2961209316812374
388,1.2626257779450052
389,1.2279793921594535
390,1.1926616938966301
391,1.205066624842874
392,1.272526465645074
393,1.3857854706776513
394,1.46734097918558
395,1.465850371625914
396,1.3846103583317584
397,1.3019803959574072
398,1.2390332596530873
399,1.2617831326651552
400,1.3126462067380638
401,1.3355773161370301
402,1.3107160294043796
403,1.2762092751483527
404,1.2401209070201331
405,1.2114336883632113
406,1.2243273275540565
407,1.2948309609645015
408,1.4154869226571816
409,1.499653719668045
410,1.494533656000473
411,1.4000307453438172
412,1.3063352830198733
413,1.2398337932313725
414,1.2672594694439376
415,1.3232476630172552
416,1.3495927099146823
417,1.323288219496532
418,1.2880903259108476
419,1.251167495451543
420,1.2309234205661368
421,1.243953063594689
422,1.3171891975820937
423,1.4444882606255374
424,1.5303676484429596
425,1.5214191066969591
426,1.4124094065912285
427,1.3069690933914992
428,1.2373781980368381
429,1.270308205402434
430,1.3315430517681606
431,1.3611654340461186
432,1.3333694618452319
433,1.2982555034129155
434,1.2610627798345901
435,1.251181135297904
436,1.2637370757330315
437,1.3394629844804788
438,1.4724628370969874
439,1.5591235614733383
440,1.5462448214681264
441,1.421369641673643
442,1.3036699105811222
443,1.231365499054672
444,1.2705858474419178
445,1.3373055483884964
446,1.3701409578123218
447,1.3408856426794011
448,1.3066285154494914
449,1.2697736917896434
450,1.0346479991340631
451,1.039172093265777
452,1.055968406340445
453,1.0780946664938613
454,1.0985454937529706
455,1.107815180572592
456,1.10496201393418
457,1.0962148001127279
458,1.0868372253002603
459,1.0887461958553717
460,1.092984674581622
461,1.0921539792340347
462,1.0849562752929593
463,1.0754801311080129
464,1.0660650435976773
465,1.0459060000608487
466,1.0516781754955937
467,1.0734714751960535
468,1.1029149046197906
469,1.1296099115660514
470,1.1405645757681895
471,1.135162343427054
472,1.122815457123346
473,1.109530087608933
474,1.1122271648053659
475,1.1188036731201565
476,1.118368843399973
477,1.1091740904951726
478,1.0968561087380315
479,1.084579836057028
480,1.0580895455187147
481,1.0648159675454887
482,1.091665896364214
483,1.128819655606138
484,1.161857131399975
485,1.1739894788188339
486,1.1651900276856597
487,1.148701988634144
488,1.1310095622777268
489,1.134611726236495
490,1.1440413658647715
491,1.1443392521675795
492,1.133211394098055
493,1.1180234432465055
494,1.102827850819335
495,1.0710364804462271
496,1.078610224510864
497,1.110549284790371
498,1.1557609134557878
499,1.1951837357145172
500,1.2079560444077504
501,1.1948832818264707
502,1.1736783453772228
503,1.1511418952308456
504,1.1557741768890917
505,1.1685526023567612
506,1.169943379715592
507,1.1569566034701824
508,1.1388942111018816
509,1.120741788147815
510,1.0847582405432463
511,1.0930825617940283
512,1.1301090529445539
513,1.1836713535302137
514,1.2294567650314248
515,1.2423113867710953
516,1.2240675692924414
517,1.1975337123688332
518,1.1698009865528716
519,1.1756030893184908
520,1.1921884099105433
521,1.1950484432447857
522,1.1802785410257142
523,1.159364827565731
524,1.1382466929895074
525,1.099260862238857
526,1.1082521976488628
527,1.1503212394277147
528,1.2124640231264197
529,1.2645122383684169
530,1.2768835014111266
531,1.2525521601830445
532,1.2200407893416996
533,1.1868649900781545
534,1.1940020834969258
535,1.2147972598430903
536,1.219509797195185
537,1.2030252897530618
538,1.1793160459130723
539,1.1552602875563138
540,1.1145430857334513
541,1.124137265301066
542,1.171149955155831
543,1.2420316788556789
544,1.3001541865448512
545,1.3114813029484584
546,1.2801263753538352
547,1.2409539322435648
548,1.2022117683693234
549,1.2108895437632115
550,1.2362264518351094
551,1.2431694002493767
552,1.2250230487377813
553,1.198613462633353
554,1.1716943608993284
555,1.1305939590458132
556,1.140755639564506
557,1.1925475544954365
558,1.2722457067318425
559,1.3361542970502986
560,1.3458946902501674
561,1.3065560838730583
562,1.2600073409769872
563,1.215712962091854
564,1.226196492920295
565,1.2563234619248809
566,1.265853576929058
567,1.2460754407892694
568,1.2171085569779783
569,1.1874566445276489
570,1.1473912133112778
571,1.1581235765124942
572,1.2144556369577097
573,1.302954769122894
574,1.3722526161395545
575,1.3798948457339657
576,1.3315813115393507
577,1.2769138627356171
578,1.2272259614906238
579,1.239860973186336
580,1.2749369572727174
581,1.2873703496441204
582,1.265964096541485
583,1.2346409199484971
584,1.2025500675201017
585,1.1649037305254561
586,1.1762490936246968
587,1.2368065708590645
588,1.3339830994050317
589,1.4081594695978552
590,1.4132347908628595
591,1.3549156132952314
592,1.2913651717293715
593,1.2365826244438256
594,1.2518163052763698
595,1.291916445933513
596,1.3075064639304885
597,1.284451125529583
598,1.2511476816949325
599,1.21670218147734
600,1.1831037417661852
601,1.1951167801140308
602,1.259525152646392
603,1.3651288258667265
604,1.4435591646190957
605,1.4456510255997557
606,1.3762478520031005
607,1.303034881715909
608,1.243574988209347
609,1.2619714031648508
610,1.3071094024587484
611,1.3260247333046695
612,1.3014024099527615
613,1.2662635217090183
614,1.2299039574682955
615,1.20198015747867
616,1.214665240748015
617,1.2825288816042035
618,1.396161887664083
619,1.4781148562265332
620,1.4768668020129447
621,1.3952453851485356
622,1.3115864755836213
623,1.2479422000151874
624,1.2701848679013104
625,1.320354816911757
626,1.3427908697257318
627,1.3163395778593596
628,1.2799143061324532
629,1.2420711529874053
630,1.2215470741751009
631,1.2347714341083051
632,1.3057255115866473
633,1.4268223407063547
634,1.5114751167373233
635,1.5065992416682048
636,1.4115571533147984
637,1.3166893025498239
638,1.249369901495412
639,1.2762421696603652
640,1.3315931731844535
641,1.3572788767147876
642,1.3291103087424634
643,1.2919531459073728
644,1.2531306165068012
645,1.2418405864336497
646,1.2552517407853685
647,1.3290050937343705
648,1.456818282609436
649,1.5432806840467894
650,1.5345695416613852
651,1.4248140724638294
652,1.318045997937908
653,1.2475166260769672
654,1.2798502742471844
655,1.3403986508226287
656,1.3692967677552428
657,1.339482198750828
658,1.3022620913021072
659,1.2630257080665452
660,1.2629062341385024
661,1.2758842497781422
662,1.3522269893884908
663,1.4858242471621323
664,1.573172101022733
665,1.5605139898201428
666,1.434630106436882
667,1.3154350092256526
668,1.2420752468684
669,1.2807760129746624
670,1.3466440407331173
671,1.3785400100105782
