,Inflow rate,Stenosis amplitude,Stenosis width
0,0.700000,0.100000,0.100000
1,0.700000,0.100000,0.114286
2,0.700000,0.100000,0.128571
3,0.700000,0.100000,0.142857
4,0.700000,0.100000,0.157143
5,0.700000,0.100000,0.171629
6,0.700000,0.100000,0.185714
7,0.700000,0.100000,0.200000
8,0.700000,0.100000,0.214286
9,0.700000,0.100000,0.228571
10,0.700000,0.100000,0.243057
11,0.700000,0.100000,0.257143
12,0.700000,0.100000,0.271629
13,0.700000,0.100000,0.285714
14,0.700000,0.100000,0.300000
15,0.700000,0.128571,0.100000
16,0.700000,0.128571,0.114286
17,0.700000,0.128571,0.128571
18,0.700000,0.128571,0.142857
19,0.700000,0.128571,0.157143
20,0.700000,0.128571,0.171629
21,0.700000,0.128571,0.185714
22,0.700000,0.128571,0.200000
23,0.700000,0.128571,0.214286
24,0.700000,0.128571,0.228571
25,0.700000,0.128571,0.243057
26,0.700000,0.128571,0.257143
27,0.700000,0.128571,0.271629
28,0.700000,0.128571,0.285714
29,0.700000,0.128571,0.300000
30,0.700000,0.157143,0.100000
31,0.700000,0.157143,0.114286
32,0.700000,0.157143,0.128571
33,0.700000,0.157143,0.142857
34,0.700000,0.157143,0.157143
35,0.700000,0.157143,0.171629
36,0.700000,0.157143,0.185714
37,0.700000,0.157143,0.200000
38,0.700000,0.157143,0.214286
39,0.700000,0.157143,0.228571
40,0.700000,0.157143,0.243057
41,0.700000,0.157143,0.257143
42,0.700000,0.157143,0.271629
43,0.700000,0.157143,0.285714
44,0.700000,0.157143,0.300000
45,0.700000,0.185714,0.100000
46,0.700000,0.185714,0.114286
47,0.700000,0.185714,0.128571
48,0.700000,0.185714,0.142857
49,0.700000,0.185714,0.157143
50,0.700000,0.185714,0.171629
51,0.700000,0.185714,0.185714
52,0.700000,0.185714,0.200000
53,0.700000,0.185714,0.214286
54,0.700000,0.185714,0.228571
55,0.700000,0.185714,0.243057
56,0.700000,0.185714,0.257143
57,0.700000,0.185714,0.271629
58,0.700000,0.185714,0.285714
59,0.700000,0.185714,0.300000
60,0.700000,0.214286,0.100000
61,0.700000,0.214286,0.114286
62,0.700000,0.214286,0.128571
63,0.700000,0.214286,0.142857
64,0.700000,0.214286,0.157143
65,0.700000,0.214286,0.171629
66,0.700000,0.214286,0.185714
67,0.700000,0.214286,0.200000
68,0.700000,0.214286,0.214286
69,0.700000,0.214286,0.228571
70,0.700000,0.214286,0.243057
71,0.700000,0.214286,0.257143
72,0.700000,0.214286,0.271629
73,0.700000,0.214286,0.285714
74,0.700000,0.214286,0.300000
75,0.700000,0.242857,0.100000
76,0.700000,0.242857,0.114286
77,0.700000,0.242857,0.128571
78,0.700000,0.242857,0.142857
79,0.700000,0.242857,0.157143
80,0.700000,0.242857,0.171629
